ticker,name,sector_id,sector_name,yfinance_symbol,is_active
360ONE,360 ONE WAM Ltd.,9,Financial Services,360ONE.NS,True
ABB,ABB India Ltd.,2,Capital Goods,ABB.NS,True
APLAPOLLO,APL Apollo Tubes Ltd.,2,Capital Goods,APLAPOLLO.NS,True
AUBANK,AU Small Finance Bank Ltd.,9,Financial Services,AUBANK.NS,True
ADANIENSOL,Adani Energy Solutions Ltd.,14,Power,ADANIENSOL.NS,True
ADANIENT,Adani Enterprises Ltd.,12,Metals & Mining,ADANIENT.NS,True
ADANIGREEN,Adani Green Energy Ltd.,14,Power,ADANIGREEN.NS,True
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,16,Services,ADANIPORTS.NS,True
ADANIPOWER,Adani Power Ltd.,14,Power,ADANIPOWER.NS,True
ATGL,Adani Total Gas Ltd.,13,Oil Gas & Consumable Fuels,ATGL.NS,True
ABCAPITAL,Aditya Birla Capital Ltd.,9,Financial Services,ABCAPITAL.NS,True
ALKEM,Alkem Laboratories Ltd.,10,Healthcare,ALKEM.NS,True
AMBUJACEM,Ambuja Cements Ltd.,5,Construction Materials,AMBUJACEM.NS,True
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,10,Healthcare,APOLLOHOSP.NS,True
ASHOKLEY,Ashok Leyland Ltd.,2,Capital Goods,ASHOKLEY.NS,True
ASIANPAINT,Asian Paints Ltd.,6,Consumer Durables,ASIANPAINT.NS,True
ASTRAL,Astral Ltd.,2,Capital Goods,ASTRAL.NS,True
AUROPHARMA,Aurobindo Pharma Ltd.,10,Healthcare,AUROPHARMA.NS,True
DMART,Avenue Supermarts Ltd.,7,Consumer Services,DMART.NS,True
AXISBANK,Axis Bank Ltd.,9,Financial Services,AXISBANK.NS,True
BSE,BSE Ltd.,9,Financial Services,BSE.NS,True
BAJAJ-AUTO,Bajaj Auto Ltd.,1,Automobile and Auto Components,BAJAJ-AUTO.NS,True
BAJFINANCE,Bajaj Finance Ltd.,9,Financial Services,BAJFINANCE.NS,True
BAJAJFINSV,Bajaj Finserv Ltd.,9,Financial Services,BAJAJFINSV.NS,True
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,9,Financial Services,BAJAJHLDNG.NS,True
BANKBARODA,Bank of Baroda,9,Financial Services,BANKBARODA.NS,True
BANKINDIA,Bank of India,9,Financial Services,BANKINDIA.NS,True
BDL,Bharat Dynamics Ltd.,2,Capital Goods,BDL.NS,True
BEL,Bharat Electronics Ltd.,2,Capital Goods,BEL.NS,True
BHARATFORG,Bharat Forge Ltd.,1,Automobile and Auto Components,BHARATFORG.NS,True
BHEL,Bharat Heavy Electricals Ltd.,2,Capital Goods,BHEL.NS,True
BPCL,Bharat Petroleum Corporation Ltd.,13,Oil Gas & Consumable Fuels,BPCL.NS,True
BHARTIARTL,Bharti Airtel Ltd.,17,Telecommunication,BHARTIARTL.NS,True
GROWW,Billionbrains Garage Ventures Ltd.,9,Financial Services,GROWW.NS,True
BIOCON,Biocon Ltd.,10,Healthcare,BIOCON.NS,True
BLUESTARCO,Blue Star Ltd.,6,Consumer Durables,BLUESTARCO.NS,True
BOSCHLTD,Bosch Ltd.,1,Automobile and Auto Components,BOSCHLTD.NS,True
BRITANNIA,Britannia Industries Ltd.,8,Fast Moving Consumer Goods,BRITANNIA.NS,True
CGPOWER,CG Power and Industrial Solutions Ltd.,2,Capital Goods,CGPOWER.NS,True
CANBK,Canara Bank,9,Financial Services,CANBK.NS,True
