ticker,name,isin,series,yfinance_symbol
20MICRONS,20 Microns Limited,INE144J01027,EQ,20MICRONS.NS
21STCENMGM,21st Century Management Services Limited,INE253B01015,EQ,21STCENMGM.NS
360ONE,360 ONE WAM LIMITED,INE466L01038,EQ,360ONE.NS
3BBLACKBIO,3B Blackbio Dx Limited,INE994E01018,EQ,3BBLACKBIO.NS
3IINFOLTD,3i Infotech Limited,INE748C01038,BE,3IINFOLTD.NS
3MINDIA,3M India Limited,INE470A01017,EQ,3MINDIA.NS
3PLAND,3P Land Holdings Limited,INE105C01023,EQ,3PLAND.NS
5PAISA,5Paisa Capital Limited,INE618L01018,EQ,5PAISA.NS
63MOONS,63 moons technologies limited,INE111B01023,EQ,63MOONS.NS
A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012,EQ,A2ZINFRA.NS
AAATECH,AAA Technologies Limited,INE0D0U01013,EQ,AAATECH.NS
AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,EQ,AADHARHFC.NS
AAKASH,Aakash Exploration Services Limited,INE087Z01024,EQ,AAKASH.NS
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,EQ,AAREYDRUGS.NS
AARNAV,Aarnav Fashions Limited,INE750R01016,BE,AARNAV.NS
AARON,Aaron Industries Limited,INE721Z01010,EQ,AARON.NS
AARTECH,Aartech Solonics Limited,INE01C001026,BE,AARTECH.NS
AARTIDRUGS,Aarti Drugs Limited,INE767A01016,EQ,AARTIDRUGS.NS
AARTIIND,Aarti Industries Limited,INE769A01020,EQ,AARTIIND.NS
AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027,EQ,AARTIPHARM.NS
AARTISURF,Aarti Surfactants Limited,INE09EO01013,BE,AARTISURF.NS
AARVI,Aarvi Encon Limited,INE754X01016,EQ,AARVI.NS
AASTHA,Aastha Spintex Limited,INE2FMX01012,EQ,AASTHA.NS
AAVAS,Aavas Financiers Limited,INE216P01012,EQ,AAVAS.NS
ABAN,Aban Offshore Limited,INE421A01028,BE,ABAN.NS
ABANSENT,Abans Enterprises Limited,INE365O01028,EQ,ABANSENT.NS
ABB,ABB India Limited,INE117A01022,EQ,ABB.NS
ABBOTINDIA,Abbott India Limited,INE358A01014,EQ,ABBOTINDIA.NS
ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,EQ,ABCAPITAL.NS
ABCOTS,A B Cotspin India Limited,INE08PH01015,EQ,ABCOTS.NS
ABDL,Allied Blenders and Distillers Limited,INE552Z01027,EQ,ABDL.NS
ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,EQ,ABFRL.NS
ABINFRA,A B Infrabuild Limited,INE00YB01025,BE,ABINFRA.NS
ABLBL,Aditya Birla Lifestyle Brands Limited,INE14LE01019,EQ,ABLBL.NS
ABMINTLLTD,ABM International Limited,INE251C01025,BE,ABMINTLLTD.NS
ABMKNO,ABM Knowledgeware Limited,INE850B01026,EQ,ABMKNO.NS
ABREL,Aditya Birla Real Estate Limited,INE055A01016,EQ,ABREL.NS
ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,EQ,ABSLAMC.NS
ACC,ACC Limited,INE012A01025,EQ,ACC.NS
ACCELYA,Accelya Solutions India Limited,INE793A01012,EQ,ACCELYA.NS
ACCURACY,Accuracy Shipping Limited,INE648Z01023,BE,ACCURACY.NS
ACE,Action Construction Equipment Limited,INE731H01025,EQ,ACE.NS
ACEINTEG,Ace Integrated Solutions Limited,INE543V01017,EQ,ACEINTEG.NS
ACGL,Automobile Corporation of Goa Limited,INE451C01013,EQ,ACGL.NS
ACI,Archean Chemical Industries Limited,INE128X01021,EQ,ACI.NS
ACL,Andhra Cements Limited,INE666E01020,EQ,ACL.NS
ACMESOLAR,Acme Solar Holdings Limited,INE622W01025,EQ,ACMESOLAR.NS
ACSTECH,ACS Technologies Limited,INE366C01021,BE,ACSTECH.NS
ACUTAAS,Acutaas Chemicals Limited,INE00FF01025,EQ,ACUTAAS.NS
ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,EQ,ADANIENSOL.NS
ADANIENT,Adani Enterprises Limited,INE423A01024,EQ,ADANIENT.NS
ADANIGREEN,Adani Green Energy Limited,INE364U01010,EQ,ADANIGREEN.NS
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,EQ,ADANIPORTS.NS
ADANIPOWER,Adani Power Limited,INE814H01029,EQ,ADANIPOWER.NS
ADDIND,Addi Industries Limited,INE757C01021,EQ,ADDIND.NS
ADFFOODS,ADF Foods Limited,INE982B01027,EQ,ADFFOODS.NS
ADL,Archidply Decor Limited,INE0CHO01012,EQ,ADL.NS
ADOR,Ador Welding Limited,INE045A01017,EQ,ADOR.NS
ADROITINFO,Adroit Infotech Limited,INE737B01033,EQ,ADROITINFO.NS
ADSL,Allied Digital Services Limited,INE102I01027,EQ,ADSL.NS
ADVAIT,Advait Energy Transitions Limited,INE0ALI01010,EQ,ADVAIT.NS
ADVANCE,Advance Agrolife Limited,INE1B0W01010,EQ,ADVANCE.NS
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,INE199C01026,EQ,ADVANIHOTR.NS
ADVENTHTL,Advent Hotels International Limited,INE28GN01010,EQ,ADVENTHTL.NS
ADVENZYMES,Advanced Enzyme Technologies Limited,INE837H01020,EQ,ADVENZYMES.NS
ADVIKCA,Advik Capital Limited,INE178T01024,EQ,ADVIKCA.NS
AEGISLOG,Aegis Logistics Limited,INE208C01025,EQ,AEGISLOG.NS
AEGISVOPAK,Aegis Vopak Terminals Limited,INE0INX01018,EQ,AEGISVOPAK.NS
AEPL,Artemis Electricals and Projects Limited,INE757T01025,EQ,AEPL.NS
AEQUS,Aequs Limited,INE947N01017,EQ,AEQUS.NS
AEROENTER,Aeroflex Enterprises Limited,INE065D01027,EQ,AEROENTER.NS
AEROFLEX,Aeroflex Industries Limited,INE024001021,EQ,AEROFLEX.NS
AERONEU,Aeroflex Neu Limited,INE035801013,EQ,AERONEU.NS
AEROPLANE,Amir Chand Jagdish Kumar (Exports) Limited,INE05TO01019,EQ,AEROPLANE.NS
AETHER,Aether Industries Limited,INE0BWX01014,EQ,AETHER.NS
AFCONS,Afcons Infrastructure Limited,INE101I01011,EQ,AFCONS.NS
AFFLE,Affle 3i Limited,INE00WC01027,EQ,AFFLE.NS
AFFORDABLE,Affordable Robotic & Automation Limited,INE692Z01013,EQ,AFFORDABLE.NS
AFIL,Akme Fintrade (India) Limited,INE916Y01027,EQ,AFIL.NS
AFSL,Abans Financial Services Limited,INE00ZE01026,EQ,AFSL.NS
AGARIND,Agarwal Industrial Corporation Limited,INE204E01012,EQ,AGARIND.NS
AGARWALEYE,Dr. Agarwal's Health Care Limited,INE943P01029,EQ,AGARWALEYE.NS
AGI,AGI Greenpac Limited,INE415A01038,EQ,AGI.NS
AGIIL,Agi Infra Limited,INE976R01033,EQ,AGIIL.NS
AGL,Allcargo Global Limited,INE1YPB01014,EQ,AGL.NS
AGRITECH,Agri-Tech (India) Limited,INE449G01018,EQ,AGRITECH.NS
AGROPHOS,Agro Phos India Limited,INE740V01019,EQ,AGROPHOS.NS
AGSTRA,AGS Transact Technologies Limited,INE583L01014,BZ,AGSTRA.NS
AHCL,Anlon Healthcare Limited,INE0Y8W01025,EQ,AHCL.NS
AHLADA,Ahlada Engineers Limited,INE00PV01013,EQ,AHLADA.NS
AHLEAST,Asian Hotels (East) Limited,INE926K01017,EQ,AHLEAST.NS
AHLUCONT,Ahluwalia Contracts (India) Limited,INE758C01029,EQ,AHLUCONT.NS
AHLWEST,Asian Hotels (West) Limited,INE915K01010,BE,AHLWEST.NS
AIAENG,AIA Engineering Limited,INE212H01026,EQ,AIAENG.NS
AIIL,Authum Investment & Infrastructure Limited,INE206F01022,EQ,AIIL.NS
AIRAN,Airan Limited,INE645W01026,EQ,AIRAN.NS
AIROLAM,Airo Lam limited,INE801L01010,EQ,AIROLAM.NS
AJANTPHARM,Ajanta Pharma Limited,INE031B01049,EQ,AJANTPHARM.NS
AJAXENGG,Ajax Engineering Limited,INE274Y01021,EQ,AJAXENGG.NS
AJMERA,Ajmera Realty & Infra India Limited,INE298G01035,EQ,AJMERA.NS
AJOONI,Ajooni Biotech Limited,INE820Y01021,EQ,AJOONI.NS
AKASH,Akash Infra-Projects Limited,INE737W01013,EQ,AKASH.NS
AKCAPIT,AK Capital Services Limited,INE701G01012,EQ,AKCAPIT.NS
AKG,Akg Exim Limited,INE00Y801016,EQ,AKG.NS
AKI,AKI India Limited,INE642Z01026,BE,AKI.NS
AKSHAR,Akshar Spintex Limited,INE256Z01025,EQ,AKSHAR.NS
AKSHARCHEM,AksharChem India Limited,INE542B01011,BE,AKSHARCHEM.NS
AKSHOPTFBR,Aksh Optifibre Limited,INE523B01011,BE,AKSHOPTFBR.NS
AKUMS,Akums Drugs and Pharmaceuticals Limited,INE09XN01023,EQ,AKUMS.NS
ALANKIT,Alankit Limited,INE914E01040,EQ,ALANKIT.NS
ALBERTDAVD,Albert David Limited,INE155C01010,EQ,ALBERTDAVD.NS
ALEMBICLTD,Alembic Limited,INE426A01027,EQ,ALEMBICLTD.NS
ALFREDHE,Alfred Herbert India Limited,INE782D01027,EQ,ALFREDHE.NS
ALGOQUANT,Algoquant Fintech Limited,INE598D01035,EQ,ALGOQUANT.NS
ALICON,Alicon Castalloy Limited,INE062D01024,EQ,ALICON.NS
ALIVUS,Alivus Life Sciences Limited,INE03Q201024,EQ,ALIVUS.NS
ALKALI,Alkali Metals Limited,INE773I01017,EQ,ALKALI.NS
ALKEM,Alkem Laboratories Limited,INE540L01014,EQ,ALKEM.NS
ALKYLAMINE,Alkyl Amines Chemicals Limited,INE150B01039,EQ,ALKYLAMINE.NS
ALLCARGO,Allcargo Logistics Limited,INE418H01029,EQ,ALLCARGO.NS
ALLDIGI,Alldigi Tech Limited,INE835G01018,EQ,ALLDIGI.NS
ALLTIME,All Time Plastics Limited,INE0GV601021,EQ,ALLTIME.NS
ALMONDZ,Almondz Global Securities Limited,INE326B01035,EQ,ALMONDZ.NS
ALOKINDS,Alok Industries Limited,INE270A01029,EQ,ALOKINDS.NS
ALPA,Alpa Laboratories Limited,INE385I01010,EQ,ALPA.NS
ALPHAGEO,Alphageo (India) Limited,INE137C01018,BE,ALPHAGEO.NS
ALPINETEX,Alpine Texworld Limited,INE1JCQ01037,EQ,ALPINETEX.NS
ALUFLUOR,Alufluoride Limited,INE058F01019,EQ,ALUFLUOR.NS
AMAGI,Amagi Media Labs Limited,INE121R01077,EQ,AMAGI.NS
AMAL,Amal Limited,INE841D01013,EQ,AMAL.NS
AMANTA,Amanta Healthcare Limited,INE084K01015,BE,AMANTA.NS
AMARJOTHI,Amarjothi Spinning Mills Limited,INE484D01012,EQ,AMARJOTHI.NS
AMBALALSA,Ambalal Sarabhai Enterprises Limited,INE432A01017,BE,AMBALALSA.NS
AMBER,Amber Enterprises India Limited,INE371P01015,EQ,AMBER.NS
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,INE792B01012,EQ,AMBICAAGAR.NS
AMBIKCO,Ambika Cotton Mills Limited,INE540G01014,EQ,AMBIKCO.NS
AMBUJACEM,Ambuja Cements Limited,INE079A01024,EQ,AMBUJACEM.NS
AMDIND,AMD Industries Limited,INE005I01014,EQ,AMDIND.NS
AMJLAND,Amj Land Holdings Limited,INE606A01024,EQ,AMJLAND.NS
AMNPLST,Amines & Plasticizers Limited,INE275D01022,EQ,AMNPLST.NS
AMRUTANJAN,Amrutanjan Health Care Limited,INE098F01031,EQ,AMRUTANJAN.NS
ANANDRATHI,Anand Rathi Wealth Limited,INE463V01026,EQ,ANANDRATHI.NS
ANANTRAJ,Anant Raj Limited,INE242C01024,EQ,ANANTRAJ.NS
ANDHRAPAP,ANDHRA PAPER LIMITED,INE435A01051,EQ,ANDHRAPAP.NS
ANDHRSUGAR,The Andhra Sugars Limited,INE715B01021,EQ,ANDHRSUGAR.NS
ANDREWYU,Andrew Yule & Company Limited,INE449C01025,EQ,ANDREWYU.NS
ANGELONE,Angel One Limited,INE732I01021,EQ,ANGELONE.NS
ANIKINDS,Anik Industries Limited,INE087B01017,EQ,ANIKINDS.NS
ANKITMETAL,Ankit Metal & Power Limited,INE106I01010,BZ,ANKITMETAL.NS
ANMOL,Anmol India Limited,INE02AR01019,EQ,ANMOL.NS
ANNAPURNA,Annapurna Swadisht Limited,INE0MGM01017,EQ,ANNAPURNA.NS
ANNU,Annu Projects Limited,INE103001017,BE,ANNU.NS
ANSALAPI,Ansal Properties & Infrastructure Limited,INE436A01026,BZ,ANSALAPI.NS
ANSALBU,Ansal Buildwell Limited,INE030C01015,EQ,ANSALBU.NS
ANTELOPUS,Antelopus Selan Energy Limited,INE818A01017,EQ,ANTELOPUS.NS
ANTGRAPHIC,Antarctica Limited,INE414B01021,EQ,ANTGRAPHIC.NS
ANTHEM,Anthem Biosciences Limited,INE0CZ201020,EQ,ANTHEM.NS
ANUHPHR,Anuh Pharma Limited,INE489G01022,EQ,ANUHPHR.NS
ANUP,The Anup Engineering Limited,INE294Z01018,EQ,ANUP.NS
ANURAS,Anupam Rasayan India Limited,INE930P01018,EQ,ANURAS.NS
APARINDS,Apar Industries Limited,INE372A01015,EQ,APARINDS.NS
APCL,Anjani Portland Cement Limited,INE071F01012,EQ,APCL.NS
APCOTEXIND,Apcotex Industries Limited,INE116A01032,EQ,APCOTEXIND.NS
APEX,Apex Frozen Foods Limited,INE346W01013,EQ,APEX.NS
APLAPOLLO,APL Apollo Tubes Limited,INE702C01027,EQ,APLAPOLLO.NS
APLLTD,Alembic Pharmaceuticals Limited,INE901L01018,EQ,APLLTD.NS
APOLLO,Apollo Micro Systems Limited,INE713T01028,EQ,APOLLO.NS
APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,EQ,APOLLOHOSP.NS
APOLLOPIPE,Apollo Pipes Limited,INE126J01016,EQ,APOLLOPIPE.NS
APOLLOTYRE,Apollo Tyres Limited,INE438A01022,EQ,APOLLOTYRE.NS
APOLSINHOT,Apollo Sindoori Hotels Limited,INE451F01024,EQ,APOLSINHOT.NS
APOORVA,Apoorva Leasing Finance and Investment Company Limited,INE217S01014,EQ,APOORVA.NS
APTECHT,Aptech Limited,INE266F01018,BE,APTECHT.NS
APTUS,Aptus Value Housing Finance India Limited,INE852O01025,EQ,APTUS.NS
AQYLON,Aqylon Nexus Limited,INE416A01051,EQ,AQYLON.NS
ARCHIDPLY,Archidply Industries Limited,INE877I01016,EQ,ARCHIDPLY.NS
ARCHIES,Archies Limited,INE731A01020,EQ,ARCHIES.NS
ARCL,ARCL Organics Limited,INE372M01010,EQ,ARCL.NS
ARDEE,Ardee Industries Limited,INE0XNF01022,EQ,ARDEE.NS
ARE&M,Amara Raja Energy & Mobility Limited,INE885A01032,EQ,ARE&M.NS
ARENTERP,Rajdarshan Industries Limited,INE610C01014,EQ,ARENTERP.NS
ARFIN,Arfin India Limited,INE784R01023,EQ,ARFIN.NS
ARIES,Aries Agro Limited,INE298I01015,BE,ARIES.NS
ARIHANT,Arihant Foundations & Housing Limited,INE413D01011,EQ,ARIHANT.NS
ARIHANTCAP,Arihant Capital Markets Limited,INE420B01036,EQ,ARIHANTCAP.NS
ARIHANTSUP,Arihant Superstructures Limited,INE643K01018,EQ,ARIHANTSUP.NS
ARIS,Arisinfra Solutions Limited,INE0H9P01028,EQ,ARIS.NS
ARKADE,Arkade Developers Limited,INE0QRL01017,EQ,ARKADE.NS
ARMANFIN,Arman Financial Services Limited,INE109C01017,EQ,ARMANFIN.NS
AROGRANITE,Aro Granite Industries Limited,INE210C01013,EQ,AROGRANITE.NS
ARROWGREEN,Arrow Greentech Limited,INE570D01018,BE,ARROWGREEN.NS
ARSHIYA,Arshiya Limited,INE968D01022,BZ,ARSHIYA.NS
ARSSBL,Anand Rathi Share and Stock Brokers Limited,INE549H01021,EQ,ARSSBL.NS
ARTEMISMED,Artemis Medicare Services Limited,INE025R01021,EQ,ARTEMISMED.NS
ARTNIRMAN,Art Nirman Limited,INE738V01013,EQ,ARTNIRMAN.NS
ARVEE,Arvee Laboratories (India) Limited,INE006Z01016,EQ,ARVEE.NS
ARVIND,Arvind Limited,INE034A01011,EQ,ARVIND.NS
ARVINDFASN,Arvind Fashions Limited,INE955V01021,EQ,ARVINDFASN.NS
ARVSMART,Arvind SmartSpaces Limited,INE034S01021,EQ,ARVSMART.NS
ARYAMAN,Aryaman Financial Services Limited,INE032E01017,EQ,ARYAMAN.NS
ASAHIINDIA,Asahi India Glass Limited,INE439A01020,EQ,ASAHIINDIA.NS
ASAHISONG,Asahi Songwon Colors Limited,INE228I01012,BE,ASAHISONG.NS
ASAL,Automotive Stampings and Assemblies Limited,INE900C01027,EQ,ASAL.NS
ASALCBR,Associated Alcohols & Breweries Ltd.,INE073G01016,EQ,ASALCBR.NS
ASHAPURMIN,Ashapura Minechem Limited,INE348A01023,EQ,ASHAPURMIN.NS
ASHIANA,Ashiana Housing Limited,INE365D01021,EQ,ASHIANA.NS
ASHIKAG,Ashika Global Securities Limited,INE094B01013,BE,ASHIKAG.NS
ASHIMASYN,Ashima Limited,INE440A01010,EQ,ASHIMASYN.NS
ASHOKA,Ashoka Buildcon Limited,INE442H01029,EQ,ASHOKA.NS
ASHOKAMET,Ashoka Metcast Limited,INE760Y01011,EQ,ASHOKAMET.NS
ASHOKLEY,Ashok Leyland Limited,INE208A01029,EQ,ASHOKLEY.NS
ASIANENE,Asian Energy Services Limited,INE276G01015,EQ,ASIANENE.NS
ASIANHOTNR,Asian Hotels (North) Limited,INE363A01022,EQ,ASIANHOTNR.NS
ASIANPAINT,Asian Paints Limited,INE021A01026,EQ,ASIANPAINT.NS
ASIANTILES,Asian Granito India Limited,INE022I01019,EQ,ASIANTILES.NS
ASIANTNE,Asian Tea & Exports Limited,INE822B01017,EQ,ASIANTNE.NS
ASKAUTOLTD,ASK Automotive Limited,INE491J01022,EQ,ASKAUTOLTD.NS
ASMS,Avio Smart Market Stack Limited,INE855F01042,BE,ASMS.NS
ASPINWALL,Aspinwall and Company Limited,INE991I01015,EQ,ASPINWALL.NS
ASSAMENT,Assam Entrade Limited,INE165G01010,EQ,ASSAMENT.NS
ASTAR,Asian Star Company Limited,INE194D01017,EQ,ASTAR.NS
ASTEC,Astec LifeSciences Limited,INE563J01010,EQ,ASTEC.NS
ASTERDM,Aster DM Quality Care Limited,INE914M01019,EQ,ASTERDM.NS
ASTRAL,Astral Limited,INE006I01046,EQ,ASTRAL.NS
ASTRAMICRO,Astra Microwave Products Limited,INE386C01029,EQ,ASTRAMICRO.NS
ASTRAZEN,AstraZeneca Pharma India Limited,INE203A01020,EQ,ASTRAZEN.NS
ASTRON,Astron Paper & Board Mill Limited,INE646X01014,BZ,ASTRON.NS
ATALREAL,Atal Realtech Limited,INE0ALR01029,EQ,ATALREAL.NS
ATAM,Atam Valves Limited,INE09KD01013,EQ,ATAM.NS
ATGL,Adani Total Gas Limited,INE399L01023,EQ,ATGL.NS
ATHERENERG,Ather Energy Limited,INE0LEZ01016,EQ,ATHERENERG.NS
ATL,Allcargo Terminals Limited,INE0NN701020,EQ,ATL.NS
ATLANTAA,ATLANTAA LIMITED,INE285H01022,EQ,ATLANTAA.NS
ATLANTAELE,Atlanta Electricals Limited,INE0Z4F01028,EQ,ATLANTAELE.NS
ATLASCYCLE,Atlas Cycles (Haryana) Limited,INE446A01025,EQ,ATLASCYCLE.NS
ATUL,Atul Limited,INE100A01010,EQ,ATUL.NS
ATULAUTO,Atul Auto Limited,INE951D01028,EQ,ATULAUTO.NS
AUBANK,AU Small Finance Bank Limited,INE949L01017,EQ,AUBANK.NS
AUGMONT,Augmont Enterprises Limited,INE16W401027,EQ,AUGMONT.NS
AURIONPRO,Aurionpro Solutions Limited,INE132H01018,EQ,AURIONPRO.NS
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,EQ,AUROPHARMA.NS
AURUM,Aurum PropTech Limited,INE898S01029,EQ,AURUM.NS
AURUS,AURUS GEM CORPORATION LIMITED,INE142K01011,EQ,AURUS.NS
AUSOMENT,Ausom Enterprise Limited,INE218C01016,EQ,AUSOMENT.NS
AUSTENG,Austin Engineering Company  Limited,INE759F01012,EQ,AUSTENG.NS
AUTOAXLES,Automotive Axles Limited,INE449A01011,EQ,AUTOAXLES.NS
AUTOIND,Autoline Industries Limited,INE718H01014,EQ,AUTOIND.NS
AVADHSUGAR,Avadh Sugar & Energy Limited,INE349W01017,EQ,AVADHSUGAR.NS
AVALON,Avalon Technologies Limited,INE0LCL01028,EQ,AVALON.NS
AVANCE,Avance Technologies Limited,INE758A01072,EQ,AVANCE.NS
AVANTEL,Avantel Limited,INE005B01027,EQ,AVANTEL.NS
AVANTIFEED,Avanti Feeds Limited,INE871C01038,EQ,AVANTIFEED.NS
AVG,AVG Logistics Limited,INE680Z01018,BE,AVG.NS
AVL,Aditya Vision Limited,INE679V01027,EQ,AVL.NS
AVONMORE,Avonmore Capital & Management Services Limited,INE323B01024,EQ,AVONMORE.NS
AVROIND,AVRO INDIA LIMITED,INE652Z01025,EQ,AVROIND.NS
AVTNPL,AVT Natural Products Limited,INE488D01021,EQ,AVTNPL.NS
AWFIS,Awfis Space Solutions Limited,INE108V01019,EQ,AWFIS.NS
AWHCL,Antony Waste Handling Cell Limited,INE01BK01022,EQ,AWHCL.NS
AWL,AWL Agri Business Limited,INE699H01024,EQ,AWL.NS
AXISBANK,Axis Bank Limited,INE238A01034,EQ,AXISBANK.NS
AXISCADES,AXISCADES Technologies Limited,INE555B01013,EQ,AXISCADES.NS
AXITA,Axita Cotton Limited,INE02EZ01022,EQ,AXITA.NS
AXTEL,Axtel Industries Limited,INE767C01012,EQ,AXTEL.NS
AYE,Aye Finance Limited,INE501X01029,EQ,AYE.NS
AYMSYNTEX,AYM Syntex Limited,INE193B01039,EQ,AYMSYNTEX.NS
AZAD,Azad Engineering Limited,INE02IJ01035,EQ,AZAD.NS
AZADIND,Azad India Mobility Limited,INE566M01017,EQ,AZADIND.NS
BAFNAPH,Bafna Pharmaceuticals Limited,INE878I01022,BE,BAFNAPH.NS
BAGFILMS,B.A.G Films and Media Limited,INE116D01028,EQ,BAGFILMS.NS
BAIDFIN,Baid Finserv Limited,INE020D01022,EQ,BAIDFIN.NS
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,EQ,BAJAJ-AUTO.NS
BAJAJCON,Bajaj Consumer Care Limited,INE933K01021,EQ,BAJAJCON.NS
BAJAJELEC,Bajaj Electricals Limited,INE193E01025,EQ,BAJAJELEC.NS
BAJAJFINSV,Bajaj Finserv Limited,INE918I01026,EQ,BAJAJFINSV.NS
BAJAJHCARE,Bajaj Healthcare Limited,INE411U01027,EQ,BAJAJHCARE.NS
BAJAJHFL,Bajaj Housing Finance Limited,INE377Y01014,EQ,BAJAJHFL.NS
BAJAJHIND,Bajaj Hindusthan Sugar Limited,INE306A01021,EQ,BAJAJHIND.NS
BAJAJHLDNG,Bajaj Holdings & Investment Limited,INE118A01012,EQ,BAJAJHLDNG.NS
BAJAJINDEF,Indef Manufacturing Limited,INE0O9T01021,EQ,BAJAJINDEF.NS
BAJAJST,Bajaj Steel Industries Limited,INE704G01024,EQ,BAJAJST.NS
BAJEL,Bajel Projects Limited,INE0KQN01018,EQ,BAJEL.NS
BAJFINANCE,Bajaj Finance Limited,INE296A01032,EQ,BAJFINANCE.NS
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,INE0S2G01011,EQ,BALAJEE.NS
BALAJITELE,Balaji Telefilms Limited,INE794B01026,EQ,BALAJITELE.NS
BALAMINES,Balaji Amines Limited,INE050E01027,EQ,BALAMINES.NS
BALAXI,BALAXI PHARMACEUTICALS LIMITED,INE618N01022,EQ,BALAXI.NS
BALKRISHNA,Balkrishna Paper Mills Limited,INE875R01011,EQ,BALKRISHNA.NS
BALKRISIND,Balkrishna Industries Limited,INE787D01026,EQ,BALKRISIND.NS
BALMLAWRIE,Balmer Lawrie & Company Limited,INE164A01016,EQ,BALMLAWRIE.NS
BALPHARMA,Bal Pharma Limited,INE083D01012,EQ,BALPHARMA.NS
BALRAMCHIN,Balrampur Chini Mills Limited,INE119A01028,EQ,BALRAMCHIN.NS
BALUFORGE,Balu Forge Industries Limited,INE011E01029,EQ,BALUFORGE.NS
BANARBEADS,Banaras Beads Limited,INE655B01011,EQ,BANARBEADS.NS
BANARISUG,Bannari Amman Sugars Limited,INE459A01010,EQ,BANARISUG.NS
