quarter,sector,share_of_universe,share_of_top_decile,gap
2017Q4,Financial Services,0.19956616052060738,0.10869565217391304,-0.09087050834669434
2017Q4,Healthcare,0.0911062906724512,0.10869565217391304,0.017589361501461842
2017Q4,Fast Moving Consumer Goods,0.0911062906724512,0.15217391304347827,0.06106762237102707
2017Q4,Capital Goods,0.08459869848156182,0.06521739130434782,-0.019381307177213994
2017Q4,Automobile and Auto Components,0.07809110629067245,0.0,-0.07809110629067245
2017Q4,Information Technology,0.07158351409978309,0.0,-0.07158351409978309
2017Q4,Metals & Mining,0.0650759219088937,0.15217391304347827,0.08709799113458457
2017Q4,Oil Gas & Consumable Fuels,0.052060737527114966,0.13043478260869565,0.07837404508158069
2017Q4,Power,0.0455531453362256,0.08695652173913043,0.04140337640290483
2017Q4,Chemicals,0.039045553145336226,0.0,-0.039045553145336226
2017Q4,Consumer Durables,0.03253796095444685,0.021739130434782608,-0.010798830519664245
2017Q4,Realty,0.03253796095444685,0.06521739130434782,0.03267943034990097
2017Q4,Consumer Services,0.026030368763557483,0.043478260869565216,0.017447892106007733
2017Q4,Construction Materials,0.026030368763557483,0.0,-0.026030368763557483
2017Q4,Telecommunication,0.026030368763557483,0.0,-0.026030368763557483
2017Q4,Services,0.026030368763557483,0.0,-0.026030368763557483
2017Q4,Textiles,0.006507592190889371,0.06521739130434782,0.05870979911345845
2017Q4,Construction,0.006507592190889371,0.0,-0.006507592190889371
2018Q1,Financial Services,0.20382165605095542,0.03225806451612903,-0.1715635915348264
2018Q1,Healthcare,0.09235668789808917,0.03225806451612903,-0.060098623381960134
2018Q1,Fast Moving Consumer Goods,0.08917197452229299,0.12903225806451613,0.03986028354222314
2018Q1,Capital Goods,0.08280254777070063,0.03225806451612903,-0.0505444832545716
2018Q1,Automobile and Auto Components,0.07643312101910828,0.0,-0.07643312101910828
2018Q1,Information Technology,0.07006369426751592,0.3225806451612903,0.2525169508937744
2018Q1,Metals & Mining,0.06369426751592357,0.25806451612903225,0.1943702486131087
2018Q1,Oil Gas & Consumable Fuels,0.050955414012738856,0.0,-0.050955414012738856
2018Q1,Power,0.044585987261146494,0.06451612903225806,0.01993014177111157
2018Q1,Chemicals,0.03821656050955414,0.0,-0.03821656050955414
