window_quarters,quarter,train_rows,test_rows,rank_ic,p_value,decile_spread
4,2017Q4,1868,1406,0.20788089785358543,3.4326117828544045e-15,0.07437671238099292
4,2018Q1,3274,1411,-0.061535937557087216,0.02079786283119842,-0.022172945406010128
4,2018Q2,4685,1413,0.11820676062611106,8.386413550663993e-06,0.08436751350646116
4,2018Q3,5633,1413,-0.14624666996768865,3.3469148268160686e-08,-0.0672429670417132
4,2018Q4,5643,1416,0.09318404369850151,0.0004463578581338546,0.06227638288806794
4,2019Q1,5653,950,0.03578672355124368,0.2704957380316971,0.04235707161008544
4,2019Q2,5192,1418,0.1620495508923909,8.38727705051305e-10,0.07181507388933916
4,2019Q3,5197,1886,-0.03267063069493041,0.15611446151222008,0.02137199655170422
4,2019Q4,5670,1424,0.08079044531552962,0.0022807050590665564,0.07317098488704854
4,2020Q1,5678,1435,0.14843521095073,1.6105099769109264e-08,0.07833787503203407
4,2020Q2,6163,1440,0.17408150085335178,2.9103618342788415e-11,0.12352931839224698
4,2020Q3,6185,1443,0.09127504182886831,0.0005175706568553527,0.05171885802962939
4,2020Q4,5742,1443,0.13013653295437513,7.038481133345773e-07,0.03776645747834792
4,2021Q1,5761,1449,0.055473228372935134,0.03473514115550955,0.040785202327975
4,2021Q2,5775,1449,-0.08427617346608189,0.0013228342175375224,0.006466976259966641
4,2021Q3,5784,1454,0.11086900378218688,2.2650884649955055e-05,0.06192132270425094
4,2021Q4,5795,1460,0.022019235450225338,0.40049634597904044,-0.0014604542577220103
4,2022Q1,5812,1467,0.0986850483712004,0.00015321412380284538,0.09983024749052219
4,2022Q2,5830,1469,-0.06712974590477051,0.010063754775544265,-0.019665725383914902
4,2022Q3,5850,1470,0.03737827949489382,0.15203329222082765,0.03753731608600737
4,2022Q4,5866,1472,-0.2984265297592591,1.1639885745802581e-31,-0.11699721534262453
4,2023Q1,5878,1473,-0.03243703363336181,0.21342833068818012,-0.019813631165334064
4,2023Q2,5884,1006,0.18313455131980383,4.889224642173968e-09,0.18156271120562867
4,2023Q3,5421,1473,0.05794244835213307,0.02616235415619325,0.04125292670029586
4,2023Q4,5424,1476,0.21961868110917984,1.4048226079861192e-17,0.15773192847358794
4,2024Q1,5428,1472,0.17730191440209975,7.331006739868874e-12,0.1483636891000531
4,2024Q2,5427,1479,-0.010092585410880829,0.698149224035204,-0.015472796567092462
4,2024Q3,5900,1486,0.234649732647939,4.904817577992612e-20,0.1282210948119762
4,2024Q4,5913,1484,0.15249768516490528,3.542765605202781e-09,0.13079062267341063
4,2025Q1,5921,1479,0.151966652395938,4.266870735766621e-09,0.09371010840801319
4,2025Q2,5928,1487,0.30121862695015755,1.4546191199073362e-32,0.25373018061195635
4,2025Q3,5936,1489,-0.05416418141593381,0.03663193597241548,-0.003081793281426985
4,2025Q4,5939,1493,0.11456667404350906,9.092785800358011e-06,0.0862187113360523
4,2026Q1,5948,1486,0.3229367363804749,2.0580505456979537e-37,0.3105654583525571
4,2026Q2,5955,1476,0.12383209429104548,1.8256874201456927e-06,0.17641695344739267
6,2017Q4,1868,1406,0.20788089785358543,3.4326117828544045e-15,0.07437671238099292
6,2018Q1,3274,1411,-0.061535937557087216,0.02079786283119842,-0.022172945406010128
6,2018Q2,4685,1413,0.11820676062611106,8.386413550663993e-06,0.08436751350646116
6,2018Q3,6098,1413,-0.18445772078913703,2.7952473973922137e-12,-0.07078266219362318
6,2018Q4,7511,1416,0.12279005992094426,3.5861918138969472e-06,0.06479860574817142
6,2019Q1,8462,950,0.00802247522210671,0.8049486881151223,0.021924706300088033
